pmid|pubyear|lang|title|match_found|best_full_match|best_window_match
﻿26613691|2016|eng;|Integrating Children's Mental Health into Primary Care.|N||
26263525|2015|eng;|Prevention of depressive disorders in older adults: An overview.|N||
26240213|2015|eng;|Psychological and Psychosocial Impairment in Preschoolers With Selective Eating.|N||
26233323|2015|eng;|Identifying differences between depressed adolescent suicide ideators and attempters.|N||
26232242|2015|eng;|Mindfulness in schizophrenia: Associations with self-reported motivation, emotion regulation, dysfunctional attitudes, and negative symptoms.|Y|schizophrenia|schizophrenia
26228164|2015|eng;|Course of symptom change during anxiety treatment: Reductions in anxiety and depression in patients completing the Coordinated Anxiety Learning and Management program.|Y|depression|depression
26214542|2015|eng;|Identifying moderators of the adherence-outcome relation in cognitive therapy for depression.|Y|depression|depression
26213343|2015|eng;|Premorbid multivariate prediction of adult psychosis-spectrum disorder: A high-risk prospective investigation.|Y|psychosis|psychosis
26200928|2015|eng;|Functional and Neuroanatomic Specificity of Episodic Memory Dysfunction in Schizophrenia: A Functional Magnetic Resonance Imaging Study of the Relational and Item-Specific Encoding Task.|Y|schizophrenia|schizophrenia
26200849|2015|eng;|Daily Interpersonal and Affective Dynamics in Personality Disorder.|Y|personality disorder|personality disorder
26200848|2015|eng;|A Contingency-Oriented Approach to Understanding Borderline Personality Disorder: Situational Triggers and Symptoms.|Y|borderline personality disorder|borderline personality disorder
26200846|2015|eng;|The Role of Metaperception in Personality Disorders: Do People with Personality Problems Know How Others Experience Their Personality?|N||
26189703|2015|eng;|Large-scale genomics unveil polygenic architecture of human cortical surface area.|N||
26188424|2015|eng;|Multiple Family Groups to reduce child disruptive behavior difficulties: moderating effects of child welfare status on child outcomes.|N||
26184561|2015|ENG;|Twelve-months prevalence of mental disorders in the German Health Interview and Examination Survey for Adults - Mental Health Module (DEGS1-MH): a methodological addendum and correction.|N||
26180945|2015|eng;|Mental Health Recovery in the Patient-Centered Medical Home.|N||
26180190|2015|eng;|Sleep Deprivation Impairs the Human Central and Peripheral Nervous System Discrimination of Social Threat.|Y|sleep deprivation|sleep deprivation
26176785|2015|eng;|Adult Functional Outcomes of Common Childhood Psychiatric Problems: A Prospective, Longitudinal Study.|N||
26176634|2015|eng;|Neurodevelopmental Trajectories, Disconnection, and Schizophrenia Risk.|Y|schizophrenia|schizophrenia
26172387|2015|eng;|Religiosity and Mental Health Service Utilization Among African-Americans.|N||
26171787|2015|ENG;|Reduced Efficiency and Capacity of Cognitive Control in Autism Spectrum Disorder.|Y|cognitive disorder|autism
26169476|2015|eng;|Functional disability and quality of life decrements in mental disorders: Results from the Mental Health Module of the German Health Interview and Examination Survey for Adults (DEGS1-MH).|N||
26165958|2015|eng;|Screening schizotypal personality disorder for detection of clinical high risk of psychosis in Chinese mental health services.|Y|schizotypal personality disorder|schizotypal personality disorder
26156994|2015|eng;|Disrupted Saccadic Corollary Discharge in Schizophrenia.|Y|schizophrenia|schizophrenia
26132687|2015|eng;|D-Cycloserine facilitation of exposure therapy improves weight regain in patients with anorexia nervosa: a pilot randomized controlled trial.|Y|anorexia nervosa|anorexia nervosa
26132684|2015|eng;|Exploring the construct of subjective sleep quality in patients with insomnia.|Y|insomnia|insomnia
26132670|2015|eng;|Positive psychiatry: its time has come.|N||
26130197|2015|eng;|The Long and Winding Road to Bipolar Disorder.|Y|bipolar i disorder|bipolar i disorder
26124116|2015|eng;|Synchronizing theta oscillations with direct-current stimulation strengthens adaptive control in the human brain.|N||
26123324|2015|eng;|MIR137HG risk variant rs1625579 genotype is related to corpus callosum volume in schizophrenia.|Y|schizophrenia|schizophrenia
26117164|2015|eng;|Does implicit emotion regulation in binge eating disorder matter?|Y|binge-eating disorder|binge-eating disorder
26116821|2015|eng;|Hypothalamic dopaminergic neurons in an animal model of seasonal affective disorder.|Y|seasonal affective disorder|seasonal affective disorder
26112339|2015|eng;|Altered amygdala-prefrontal response to facial emotion in offspring of parents with bipolar disorder.|Y|bipolar i disorder|bipolar i disorder
26108717|2015|eng;|Genetic variation links creativity to psychiatric disorders.|N||
26107752|2015|eng;|Long-Acting Injectable Risperidone for Relapse Prevention and Control of Breakthrough Symptoms After a Recent First Episode of Schizophrenia. A Randomized Clinical Trial.|Y|schizophrenia|schizophrenia
26106668|2015|eng;|Can Genetics Predict Response to Complex Behavioral Interventions? Evidence from a Genetic Analysis of the Fast Track Randomized Control Trial.|N||
26103594|2015|eng;|Confirmatory factor analyses of DSM-5 posttraumatic stress disorder symptoms in psychiatric samples differing in Criterion A status.|Y|posttraumatic stress disorder|posttraumatic stress disorder
26099545|2015|eng;|Physicians' attitudes toward integrating consultation-liaison psychiatric services in four major general hospitals in Tehran.|N||
26096383|2015|eng;|Relationship Between Type 2 Diabetes Mellitus and Cognitive Change in a Multiethnic Elderly Cohort.|N||
26094010|2015|eng;|Associations between DSM-IV mental disorders and subsequent non-fatal, self-reported stroke.|N||
26083143|2015|eng;|Minimal Awareness and Stalled Uptake of Pre-Exposure Prophylaxis (PrEP) Among at Risk, HIV-Negative, Black Men Who Have Sex with Men.|N||
26077754|2015|eng;|Cut points on the Patient Health Questionnaire (PHQ-9) that predict response to cognitive-behavioral treatments for depression.|Y|depression|depression
26068849|2015|eng;|BRAIN NETWORKS. Correlated gene expression supports synchronous activity in brain networks.|N||
26063926|2015|eng;|Methyl supplementation attenuates cocaine-seeking behaviors and cocaine-induced c-Fos activation in a DNA methylation-dependent manner.|N||
26061819|2015|eng;|Neurobiology of Sensory Overresponsivity in Youth With Autism Spectrum Disorders.|Y|autism|autism
26053403|2015|eng;|Polygenic risk scores for schizophrenia and bipolar disorder predict creativity.|Y|bipolar disorder|bipolar disorder
26048339|2015|eng;|Polyvictimization, income, and ethnic differences in trauma-related mental health during adolescence.|N||
26046337|2015|eng;|Pediatric-Onset and Adult-Onset Separation Anxiety Disorder Across Countries in the World Mental Health Survey.|Y|separation anxiety disorder|separation anxiety disorder
26044989|2015|eng;|Witnessing traumatic events and post-traumatic stress disorder: Insights from an animal model.|Y|post-traumatic stress disorder|post-traumatic stress disorder
26042358|2015|ENG;|Are Executive Functioning Deficits Concurrently and Predictively Associated With Depressive and Anxiety Symptoms in Adolescents?|N||
26040923|2015|eng;|Behavioral and neurodevelopmental precursors to binge-type eating disorders: support for the role of negative valence systems.|N||
26037493|2015|eng;|Intolerance of uncertainty as a mediator of reductions in worry in a cognitive behavioral treatment program for generalized anxiety disorder.|Y|behavioral disorder|anxiety disorder
26035189|2015|eng;|Longitudinal trajectories of ADHD symptomatology in offspring of parents with bipolar disorder and community controls.|Y|bipolar i disorder|bipolar i disorder
26034872|2015|eng;|Cigarette smoking and interest in quitting among overweight and obese adults with serious mental illness enrolled in a fitness intervention.|N||
26033243|2015|ENG;|Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium.|Y|schizophrenia|schizophrenia
26017680|2015|eng;|Association of pyrethroid pesticide exposure with attention-deficit/hyperactivity disorder in a nationally representative sample of U.S. children.|Y|attention-deficit/hyperactivity disorder|attention-deficit/hyperactivity disorder
26016744|2015|eng;|Interoceptive predictions in the brain.|N||
26010633|2015|eng;|Copy number variations and cognitive phenotypes in unselected populations.|N||
26010574|2015|eng;|Emotion recognition in frontotemporal dementia and Alzheimer's disease: A new film-based assessment.|Y|frontotemporal dementia|frontotemporal dementia
26010313|2015|eng;|Correlates of internalized homonegativity among black men who have sex with men.|N||
26005673|2015|ENG;|Prodromal Symptom Severity Predicts Accelerated Gray Matter Reduction and Third Ventricle Expansion Among Clinically High Risk Youth Developing Psychotic Disorders.|N||
26005109|2015|eng;|Updating the research domain criteria: the utility of a motor dimension.|N||
25998280|2015|eng;|Brain Correlates of the Interaction Between 5-HTTLPR and Psychosocial Stress Mediating Attention Deficit Hyperactivity Disorder Severity.|Y|attention-deficit/hyperactivity disorder|attention-deficit/hyperactivity disorder
25998278|2015|eng;|Cognitive Enhancement Treatment for People With Mental Illness Who Do Not Respond to Supported Employment: A Randomized Controlled Trial.|N||
25982810|2015|eng;|Longitudinal investigation of the relationship between family history of psychosis and affective disorders and Child Behavior Checklist ratings in clinical high-risk adolescents.|Y|psychosis|psychosis
25974055|2015|eng;|Assessment of clinical information: Comparison of the validity of a Structured Clinical Interview (the SCID) and the Clinical Diagnostic Interview.|N||
25972228|2015|eng;|Examining DSM criteria for trichotillomania in a dimensional framework: implications for DSM-5 and diagnostic practice.|Y|trichotillomania|trichotillomania
25951819|2015|eng;|Independent evidence for an association between general cognitive ability and a genetic locus for educational attainment.|N||
25950631|2015|eng;|Brains, genes, and primates.|N||
25937563|2015|eng;|Altered corpus callosum morphology associated with autism over the first 2 years of life.|Y|autism|autism
25933410|2015|eng;|Forgetting the best when predicting the worst: Preliminary observations on neural circuit function in adolescent social anxiety.|N||
25919853|2015|eng;|Association of the rs2242446 polymorphism in the norepinephrine transporter gene SLC6A2 and anxious arousal symptoms of posttraumatic stress disorder.|Y|posttraumatic stress disorder|posttraumatic stress disorder
25919834|2015|eng;|Impaired insight into delusions predicts treatment outcome during a randomized controlled trial for Psychotic Depression (STOP-PD study).|Y|depression|depression
25919383|2015|eng;|North American Prodrome Longitudinal Study (NAPLS 2): The Prodromal Symptoms.|N||
25913008|2015|eng;|A preliminary examination of Loss of Control Eating Disorder (LOC-ED) in middle childhood.|Y|eating disorder|eating disorder
25906669|2015|eng;|The Intergenerational Transmission of Anxiety: A Children-of-Twins Study.|N||
25904724|2015|eng;|Perinatal Risks and Childhood Premorbid Indicators of Later Psychosis: Next Steps for Early Psychosocial Interventions.|Y|psychosis|psychosis
25904361|2015|eng;|The Psychiatric Genomics Consortium Posttraumatic Stress Disorder Workgroup: Posttraumatic Stress Disorder Enters the Age of Large-Scale Genomic Collaboration.|Y|posttraumatic stress disorder|posttraumatic stress disorder
25903065|2015|eng;|A metastructural model of mental disorders and pathological personality traits.|N||
25900551|2015|eng;|Brain imaging during the transition from psychosis prodrome to schizophrenia.|Y|schizophrenia|schizophrenia
25900546|2015|eng;|The RAISE Connection Program for Early Psychosis: Secondary Outcomes and Mediators and Moderators of Improvement.|Y|psychosis|psychosis
25900066|2015|eng;|Impulsivity and aggression in schizophrenia: a neural circuitry perspective with implications for treatment.|Y|schizophrenia|schizophrenia
25898329|2015|eng;|Perceived life stress exposure modulates reward-related medial prefrontal cortex responses to acute stress in depression.|Y|depression|depression
25898288|2015|eng;|Learning cognitive behavior therapy.|N||
25898050|2015|eng;|Effect of parent training vs parent education on behavioral problems in children with autism spectrum disorder: a randomized clinical trial.|Y|behavioral disorder|autism
25896844|2015|eng;|Point-of-Care Child Psychiatry Expertise: The Massachusetts Child Psychiatry Access Project.|N||
25895490|2015|eng;|Depressed mood in individuals with schizophrenia: A comparison of retrospective and real-time measures.|Y|schizophrenia|schizophrenia
25894358|2015|eng;|Recent Advances in Developmental and Risk Factor Research on Eating Disorders.|N||
25892174|2015|eng;|Mediators of exposure therapy for youth obsessive-compulsive disorder: specificity and temporal sequence of client and treatment factors.|Y|obsessive-compulsive disorder|obsessive-compulsive disorder
25889102|2015|eng;|The geography of post-disaster mental health: spatial patterning of psychological vulnerability and resilience factors in New York City after Hurricane Sandy.|N||
25888348|2015|eng;|Parental concerns, provider response, and timeliness of autism spectrum disorder diagnosis.|Y|autism|autism
25886546|2015|eng;|Descriptive epidemiology of major depressive disorder in Canada in 2012.|Y|major depressive disorder|major depressive disorder
25886446|2015|eng;|Bridging a translational gap: using machine learning to improve the prediction of PTSD.|N||
25885525|2015|eng;|Conceptualizing and contextualizing functioning in people with severe mental disorders in rural Ethiopia: a qualitative study.|N||
25885367|2015|eng;|Screening for cardiovascular risk factors in adults with serious mental illness: a review of the evidence.|N||
25884294|2015|eng;|Current major depressive syndrome measured with the Patient Health Questionnaire-9 (PHQ-9) and the Composite International Diagnostic Interview (CIDI): results from a cross-sectional population-based study of adults in Germany.|N||
25881284|2015|eng;|Ventromedial prefrontal cortex thinning in preschool-onset depression.|Y|depression|depression
25881281|2015|eng;|Multiple risk factors predict recurrence of major depressive disorder in women.|Y|major depressive disorder|major depressive disorder
25880956|2015|eng;|Venue-Mediated Weak Ties in Multiplex HIV Transmission Risk Networks Among Drug-Using Male Sex Workers and Associates.|N||
25879520|2015|eng;|The effect of preterm birth on infant negative affect and maternal postpartum depressive symptoms: A preliminary examination in an underrepresented minority sample.|N||
25878280|2015|eng;|Altered resting-state functional connectivity in cortical networks in psychopathy.|N||
25872151|2015|eng;|Racial/Ethnic differences in health care visits made before suicide attempt across the United States.|N||
25871566|2015|eng;|WIDE RANGE ACHIEVEMENT TEST IN AUTISM SPECTRUM DISORDER: TEST-RETEST STABILITY.|Y|autism|autism
25868142|2015|eng;|Sexual behaviors and HIV/syphilis testing among transgender individuals in China: implications for expanding HIV testing services.|N||
25867446|2015|eng;|Rapid response in psychological treatments for binge eating disorder.|Y|binge-eating disorder|binge-eating disorder
25865889|2015|eng;|Behavioral disturbances in estrogen-related receptor alpha-null mice.|N||
25864635|2015|eng;|Different functional neural substrates for good and poor language outcome in autism.|Y|autism|autism
25863910|2015|eng;|Does a history of substance abuse and illness chronicity predict increased impulsivity in bipolar disorder?|Y|bipolar i disorder|bipolar i disorder
25863826|2015|eng;|Anxiety sensitivity and sleep-related problems in anxious youth.|N||
25862380|2015|eng;|Concordance of mother-daughter diurnal cortisol production: Understanding the intergenerational transmission of risk for depression.|Y|depression|depression
25860228|2015|eng;|Genetic basis of a cognitive complexity metric.|N||
25857550|2015|eng;|The ventral pallidum: Subregion-specific functional anatomy and roles in motivated behaviors.|N||
25854867|2015|eng;|Risk and protective factors for cognitive impairment in persons aged 85 years and older.|Y|cognitive impairment|cognitive impairment
25854272|2015|eng;|Time estimation and production in HIV-associated neurocognitive disorders (HAND).|N||
25851547|2015|eng;|Association between mental disorders and physical diseases in adolescents from a nationally representative cohort.|N||
25845746|2015|eng;|Differential odor sensitivity in PTSD: Implications for treatment and future research.|N||
25845579|2015|eng;|CLINICAL CONSEQUENCES OF THE REVISED DSM-5 DEFINITION OF AGORAPHOBIA IN TREATMENT-SEEKING ANXIOUS YOUTH.|Y|agoraphobia|agoraphobia
25841792|2015|eng;|Histidine decarboxylase knockout mice, a genetic model of Tourette syndrome, show repetitive grooming after induced fear.|Y|tourette syndrome|tourette syndrome
25832111|2015|eng;|Therapeutic alliance in antidepressant treatment: cause or effect of symptomatic levels?|N||
25834138|2015|eng;|Violent Victimization, Mental Health, and Service Utilization Outcomes in a Cohort of Homeless and Unstably Housed Women Living With or at Risk of Becoming Infected With HIV.|N||
25833714|2015|eng;|Generating evidence to narrow the treatment gap for mental disorders in sub-Saharan Africa: rationale, overview and methods of AFFIRM.|N||
25832296|2015|eng;|Genetic analyses benefit from using less heterogeneous phenotypes: an illustration with the hospital anxiety and depression scale (HADS).|Y|depression|depression
25829134|2015|eng;|Trajectories of premorbid childhood and adolescent functioning in schizophrenia-spectrum psychoses: A first-episode study.|Y|schizophrenia|schizophrenia
25827507|2015|eng;|An exploratory study of responses to low-dose lithium in African Americans and Hispanics.|N||
25827505|2015|eng;|Characteristics of Bipolar I patients grouped by externalizing disorders.|N||
25827035|2015|eng;|Treatments for social anxiety disorder: considerations regarding psychodynamic therapy findings.|Y|social anxiety disorder|social anxiety disorder
25827034|2015|eng;|Validation of electronic health record phenotyping of bipolar disorder cases and controls.|Y|bipolar i disorder|bipolar i disorder
25827033|2015|eng;|Association of CRP genetic variation and CRP level with elevated PTSD symptoms and physiological responses in a civilian population with high levels of trauma.|N||
25827030|2015|eng;|A clinical perspective on the relevance of research domain criteria in electronic health records.|N||
25826304|2015|eng;|Reward learning in pediatric depression and anxiety: preliminary findings in a high-risk sample.|Y|depression|depression
25825712|2015|eng;|Memory, scene construction, and the human hippocampus.|N||
25824299|2015|eng;|Conditional neuroligin-2 knockout in adult medial prefrontal cortex links chronic changes in synaptic inhibition to cognitive impairments.|N||
25808754|2015|ENG;|Spirituality attenuates the association between depression symptom severity and meaning in life.|Y|depression|depression
25807066|2015|eng;|Effects of prenatal exposure to air pollutants (polycyclic aromatic hydrocarbons) on the development of brain white matter, cognition, and behavior in later childhood.|N||
25806661|2015|eng;|Dialectical behavior therapy for high suicide risk in individuals with borderline personality disorder: a randomized clinical trial and component analysis.|Y|borderline personality disorder|borderline personality disorder
25803309|2015|eng;|Assessing Interpersonal Subtypes in Depression.|Y|depression|depression
25798634|2015|eng;|Seeking behavior, place conditioning, and resistance to conditioned suppression of feeding in rats intermittently exposed to palatable food.|N||
25798518|2014|eng;|Psychopathology in young children in two types of foster care following institutional rearing.|N||
25798499|2014|eng;|Maternal depression in association with fathers' involvement with their infants: spillover or compensation/buffering?|Y|depression|depression
25798481|2014|eng;|Maternal sensitivity and latency to positive emotion following challenge: pathways through effortful control.|N||
25797842|2015|eng;|Investigating the psychosocial determinants of child health in Africa: The Drakenstein Child Health Study.|N||
25796319|2015|eng;|Prevalence and predictors of major depressive disorder for fertility treatment patients and their partners.|Y|major depressive disorder|major depressive disorder
25795595|2015|eng;|Relationship between white matter microstructure abnormalities and ADHD symptomatology in adolescents.|N||
25793597|2015|eng;|The parent ratings of traumatized children with or without PTSD.|N||
25788713|2015|eng;|Availability of N-Methyl-d-Aspartate Receptor Coagonists Affects Cocaine-Induced Conditioned Place Preference and Locomotor Sensitization: Implications for Comorbid Schizophrenia and Substance Abuse.|Y|cocaine abuse|substance abuse
25788668|2015|eng;|Neural and behavioral correlates of extended training during sleep deprivation in humans: evidence for local, task-specific effects.|Y|sleep deprivation|sleep deprivation
25788555|2015|eng;|Predicting the risk of mild cognitive impairment in the Mayo Clinic Study of Aging.|Y|cognitive impairment|cognitive impairment
25786193|2015|eng;|Further neuroimaging evidence for the deficit subtype of schizophrenia: a cortical connectomics analysis.|Y|schizophrenia|schizophrenia
25786075|2015|eng;|Antipsychotics, other psychotropics, and the risk of death in patients with dementia: number needed to harm.|Y|dementia|dementia
25785575|2015|eng;|Large-Scale Network Dysfunction in Major Depressive Disorder: A Meta-analysis of Resting-State Functional Connectivity.|Y|major depressive disorder|major depressive disorder
25785510|2015|eng;|Functional neuroimaging abnormalities in youth with psychosis spectrum symptoms.|Y|psychosis|psychosis
25785435|2015|eng;|Developmentally stable whole-brain volume reductions and developmentally sensitive caudate and putamen volume alterations in those with attention-deficit/hyperactivity disorder and their unaffected siblings.|Y|attention-deficit/hyperactivity disorder|attention-deficit/hyperactivity disorder
25781903|2015|eng;|Antiretroviral Non-Adherence is Associated With a Retrieval Profile of Deficits in Verbal Episodic Memory.|N||
25776037|2015|eng;|Effects of sleep deprivation and aging on long-term and remote memory in mice.|Y|sleep deprivation|sleep deprivation
25774129|2015|eng;|The neurobiology of emotion-cognition interactions: fundamental questions and strategies for future research.|N||
25773525|2015|eng;|Association between witnessing traumatic events and psychopathology in the South African Stress and Health Study.|N||
25773515|2015|eng;|Development of a novel observational measure for anxiety in young children: The Anxiety Dimensional Observation Scale.|N||
25771682|2015|eng;|Increased cerebral blood flow associated with better response inhibition in bipolar disorder.|Y|bipolar i disorder|bipolar i disorder
25770940|2015|eng;|Locomotor activity measures in the diagnosis of attention deficit hyperactivity disorder: Meta-analyses and new findings.|Y|attention-deficit/hyperactivity disorder|attention-deficit/hyperactivity disorder
25769235|2015|eng;|Clinical correlates of parenting stress in children with Tourette syndrome and in typically developing children.|Y|tourette syndrome|tourette syndrome
25769133|2015|eng;|Response inhibition and response monitoring in a saccadic double-step task in schizophrenia.|Y|schizophrenia|schizophrenia
25768982|2015|eng;|Evidence-based psychological treatments for mental disorders: modifiable barriers to access and possible solutions.|N||
25767910|2015|eng;|Common and Dissociable Dysfunction of the Reward System in Bipolar and Unipolar Depression.|Y|depression|depression
25766686|2015|eng;|Valuation and cognitive circuitry in anorexia nervosa: disentangling appetite from the effort to obtain a reward.|Y|anorexia nervosa|anorexia nervosa
25766262|2015|eng;|Cortisol secretion and change in sleep problems in early childhood: Moderation by maternal overcontrol.|N||
25762898|2015|eng;|Adolescent maturation of inhibitory inputs onto cingulate cortex neurons is cell-type specific and TrkB dependent.|N||
25762760|2015|eng;|Targeting the noradrenergic system for gender-sensitive medication development for tobacco dependence.|Y|tobacco dependence|tobacco dependence
25758905|2015|eng;|Replicated linear association between DUF1220 copy number and severity of social impairment in autism.|Y|autism|autism
25754971|2015|eng;|Sexual minority specific and related traumatic experiences are associated with increased risk for smoking among gay and bisexual men.|N||
25754063|2015|eng;|'I was thinking too much': experiences of HIV-positive adults with common mental disorders and poor adherence to antiretroviral therapy in Zimbabwe.|N||
25751116|2015|eng;|The therapeutic alliance as a predictor of outcome in dialectical behavior therapy versus nonbehavioral psychotherapy by experts for borderline personality disorder.|Y|borderline personality disorder|borderline personality disorder
25751000|2015|ENG;|Parent Management Training and Collaborative & Proactive Solutions: A Randomized Control Trial for Oppositional Youth.|N||
25749302|2015|eng;|Mesial temporal lobe and memory function in autism spectrum disorder: an exploration of volumetric findings.|Y|autism|autism
25745592|2014|ENG;|Neurobiology of Pediatric Anxiety Disorders.|N||
25745371|2015|eng;|Interactive social neuroscience to study autism spectrum disorder.|Y|autism|autism
25743367|2015|eng;|Effects of adjunctive exercise on physiological and psychological parameters in depression: a randomized pilot trial.|Y|depression|depression
25741721|2015|eng;|Common behavioral clusters and subcortical anatomy in stroke.|N||
25739104|2015|eng;|Prediction of autism by translation and immune/inflammation coexpressed genes in toddlers from pediatric community practices.|Y|autism|autism
25734353|2015|eng;|Diagnostic Precursors to Bipolar Disorder in Offspring of Parents With Bipolar Disorder: A Longitudinal Study.|Y|bipolar i disorder|bipolar i disorder
25730124|2015|eng;|Anxiety is correlated with running in adolescent female mice undergoing activity-based anorexia.|N||
25727539|2015|eng;|Social responsiveness, an autism endophenotype: genomewide significant linkage to two regions on chromosome 8.|Y|autism|autism
25727538|2015|eng;|IQ and schizophrenia in a Swedish national sample: their causal relationship and the interaction of IQ with genetic risk.|Y|schizophrenia|schizophrenia
25727536|2015|eng;|Prescription practices in the treatment of first-episode schizophrenia spectrum disorders: data from the national RAISE-ETP study.|Y|schizophrenia|schizophrenia
25727533|2015|eng;|Improvement in psychotic symptoms after a gluten-free diet in a boy with complex autoimmune illness.|N||
25725310|2015|eng;|Cultural-based biases of the GAD-7.|N||
25724654|2015|eng;|A Role for p38 Mitogen-activated Protein Kinase-mediated Threonine 30-dependent Norepinephrine Transporter Regulation in Cocaine Sensitization and Conditioned Place Preference.|N||
25716355|2015|eng;|Spatially distinct atrophy is linked to β-amyloid and tau in preclinical Alzheimer disease.|Y|alzheimer's disease|alzheimer's disease
25715178|2015|eng;|Cognitive decline preceding the onset of psychosis in patients with 22q11.2 deletion syndrome.|Y|psychosis|psychosis
25714448|2015|eng;|Investigating the role of early childhood abuse and HPA axis genes in suicide attempters with bipolar disorder.|Y|bipolar i disorder|bipolar i disorder
25713770|2015|eng;|Impact of childhood trauma and affective temperament on resilience in bipolar disorder.|Y|bipolar i disorder|bipolar i disorder
25706306|2015|eng;|A multiancestral genome-wide exome array study of Alzheimer disease, frontotemporal dementia, and progressive supranuclear palsy.|Y|frontotemporal dementia|frontotemporal dementia
25706090|2015|eng;|Exercise Augmentation of Exposure Therapy for PTSD: Rationale and Pilot Efficacy Data.|N||
25705979|2015|eng;|Attachment and social cognition in borderline personality disorder: Specificity in relation to antisocial and avoidant personality disorders.|Y|borderline personality disorder|borderline personality disorder
25704740|2015|eng;|Bedtime routines in early childhood: prevalence, consistency, and associations with nighttime sleep.|N||
25703611|2015|eng;|An investigation of outcome expectancies as a predictor of treatment response for combat veterans with PTSD: comparison of clinician, self-report, and biological measures.|N||
25701064|2015|eng;|Reply: Cortical differences in preliterate children at familiar risk of dyslexia are similar to those observed in dyslexic readers.|Y|dyslexia|dyslexia
